Productivity_Exp,Management_Exp,Promotions_Exp,State,Profit
220349.2,236897.8,521784.1,Texas,242261.83
217597.7,251377.59,493898.53,Illinois,241792.06
208441.51,201145.55,457934.54,Washington,241050.39
199372.41,218671.85,433199.62,Texas,232901.99
197107.34,191391.77,416168.42,Washington,216187.94
186876.9,199814.71,412861.36,Texas,206991.12
189615.46,247198.87,177716.82,Illinois,206122.51
185298.13,245530.06,373876.68,Washington,205752.6
175542.52,248718.95,361613.29,Texas,202211.77
178334.88,208679.17,354981.62,Illinois,199759.96
156913.08,210594.11,279160.95,Washington,196121.95
155671.96,191790.61,299744.55,Illinois,194259.4
148863.75,227320.38,299839.44,Washington,191585.52
146992.39,235495.07,302664.93,Illinois,184307.35
174943.24,256547.42,306512.92,Washington,182602.65
169523.61,222616.84,311776.23,Texas,179917.04
133013.11,221597.55,314346.06,Illinois,176992.93
149657.16,245077.58,332574.31,Texas,175370.37
146749.16,214175.79,344919.57,Washington,174266.9
141419.7,253514.11,50000.0,Texas,172776.86
131253.86,213867.3,348664.47,Illinois,168474.03
133389.47,253773.43,349737.29,Texas,161313.02
128994.56,222782.75,353319.26,Washington,160352.25
122532.53,205751.03,354768.73,Washington,158733.99
132044.01,199281.34,190574.81,Texas,158552.04
119664.71,239553.16,187962.62,Illinois,157404.34
130328.87,244135.98,184050.07,Washington,155733.54
127107.6,227864.55,403183.81,Texas,155008.31
121051.52,282645.56,168148.2,Washington,153282.38
120605.48,253032.06,157138.38,Texas,151004.64
116994.48,215641.28,141131.24,Washington,149937.59
116136.38,252701.92,138218.23,Texas,147483.56
118408.86,229219.61,96085.25,Illinois,147427.84
110493.95,203057.49,264634.81,Washington,146778.92
101426.07,257693.92,260797.67,Illinois,146712.8
101014.02,185047.44,255517.64,Texas,146479.51
83663.76,227056.21,251126.82,Washington,140708.19
99069.95,151283.14,247029.42,Illinois,139949.14
75229.59,165947.93,235265.1,Texas,131229.06
93558.51,182982.09,224999.3,Illinois,131005.76
83754.33,218546.05,222795.67,Illinois,128239.91
82892.92,184710.77,214470.71,Washington,127798.83
78640.93,196189.63,198001.11,Illinois,121498.49
70505.73,227382.3,85534.17,Texas,119758.98
77177.74,254806.14,78334.72,Illinois,115200.33
56000.23,224153.04,51903.93,Texas,114926.08
56315.46,215816.21,347114.46,Washington,99490.75
55000.0,235426.92,50000.0,Illinois,92559.73
55542.05,151743.15,50000.0,Texas,85673.41
55000.0,216983.8,95173.06,Illinois,64681.4
